"Name","Strain","L-code","Snomed-CT","Mnemonic"
"Achromobacter sp","Achromobacter sp 17_562268 UMCU",,"91620006","Achrorspe"
"Achromobacter sp","Achromobacter sp DSM 30128 DSM",,"91620006","Achrorspe"
"Sporothrix schenkii","Sporothrix schenkii AL35 NIH",,"32662000","Sporoxsch"
"Achromobacter spanius","Achromobacter spanius 075_W08 NFI","L-1030D","413422008","Achrorspa"
"Achromobacter spanius","Achromobacter spanius 075_W08 NFI","L-1030D","413422008","Achrorspa"
"Achromobacter spanius","Achromobacter spanius LMG 5911T HAM","L-1030D","413422008","Achrorspa"
"Achromobacter spanius","Achromobacter spanius LMG 5911T HAM","L-1030D","413422008","Achrorspa"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans 40 PIM","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans 40 PIM","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans LMG 3429 LMG","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans LMG 3429 LMG","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans LMG 3439 LMG","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans LMG 3439 LMG","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans MU_15202_1 CHB","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans MU_15202_1 CHB","L-1030E","413424009","Achrorxyl"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans ssp xylosoxidans DSM 11852 DSM","L-1030E","413424009","Achrorxyl-x"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans ssp xylosoxidans DSM 11852 DSM","L-1030E","413424009","Achrorxyl-x"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans ssp xylosoxidans DSM 2402T DSM","L-1030E","413424009","Achrorxyl-x"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans ssp xylosoxidans DSM 2402T DSM","L-1030E","413424009","Achrorxyl-x"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans ssp xylosoxidans DSM 6388 DSM","L-1030E","413424009","Achrorxyl-x"
"Achromobacter xylosoxidans","Achromobacter xylosoxidans ssp xylosoxidans DSM 6388 DSM","L-1030E","413424009","Achrorxyl-x"
"Acidaminococcus fermentans","Acidaminococcus fermentans DSM 20731T DSM","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans DSM 20731T DSM","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0552 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0552 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0556 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0556 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0586 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0586 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0605 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus fermentans","Acidaminococcus fermentans ENR_0605 ENR","L-10401","63005002","Acidasfer"
"Acidaminococcus intestini","Acidaminococcus intestini 07_136 N3 IBS",,"2601000146107","Acidasint"
"Acidaminococcus intestini","Acidaminococcus intestini DSM 21505T DSM",,"2601000146107","Acidasint"
"Acidaminococcus intestini","Acidaminococcus intestini ENR_0231 ENR",,"2601000146107","Acidasint"
"Acidaminococcus intestini","Acidaminococcus intestini ENR_0572 ENR",,"2601000146107","Acidasint"
"Acidaminococcus intestini","Acidaminococcus intestini ENR_0580 ENR",,"2601000146107","Acidasint"
"Acidiphilium acidophilum","Acidiphilium acidophilum B349 UFL","L-2F196","422465000","Acidimaci"
"Acidiphilium acidophilum","Acidiphilium acidophilum B349 UFL","L-2F196","422465000","Acidimaci"
"Acidipropionibacterium acidipropionici","Acidipropionibacterium acidipropionici DSM 20272 DSM",,,"Acidipmaci"
"Acidipropionibacterium acidipropionici","Acidipropionibacterium acidipropionici DSM 20273 DSM",,,"Acidipmaci"
"Acidipropionibacterium acidipropionici","Acidipropionibacterium acidipropionici DSM 4900T DSM",,,"Acidipmaci"
"Acidipropionibacterium jensenii","Acidipropionibacterium jensenii DSM 20274 DSM",,,"Acidipmjen"
"Acidipropionibacterium jensenii","Acidipropionibacterium jensenii DSM 20278 DSM",,,"Acidipmjen"
"Acidipropionibacterium jensenii","Acidipropionibacterium jensenii DSM 20279 DSM",,,"Acidipmjen"
"Acidipropionibacterium jensenii","Acidipropionibacterium jensenii DSM 20535T DSM",,,"Acidipmjen"
"Acidipropionibacterium microaerophilum","Acidipropionibacterium microaerophilum DSM 13435T DSM",,,"Acidipmmic"
"Acidipropionibacterium thoenii","Acidipropionibacterium thoenii DSM 20276T DSM",,,"Acidipmtho"
"Acidipropionibacterium thoenii","Acidipropionibacterium thoenii DSM 20277 DSM",,,"Acidipmtho"
"Acidovorax avenae","Acidovorax avenae ssp avenae DSM 7227T HAM","L-17A01","113681007","Acidoxave"
"Acidovorax avenae","Acidovorax avenae ssp avenae DSM 7227T HAM","L-17A01","113681007","Acidoxave"
"Acidovorax avenae","Acidovorax avenae ssp citrulli LMG 5376T HAM","L-17A01","113681007","Acidoxcit"
"Acidovorax avenae","Acidovorax avenae ssp citrulli LMG 5376T HAM","L-17A01","113681007","Acidoxcit"
"Acidovorax defluvii","Acidovorax defluvii DSM 12644T HAM","L-17A0B","427156007","Acidoxdef"
"Acidovorax defluvii","Acidovorax defluvii DSM 12644T HAM","L-17A0B","427156007","Acidoxdef"
"Acidovorax delafieldii","Acidovorax delafieldii DSM 64T HAM","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii DSM 64T HAM","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D117 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D117 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D118 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D118 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D145 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D145 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D53 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D53 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D55 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax delafieldii","Acidovorax delafieldii R2A22D55 UMCU","113685003","113685003","Acidoxdel"
"Acidovorax facilis","Acidovorax facilis B530 UFL","L-17A06","113686002","Acidoxfac"
"Acidovorax facilis","Acidovorax facilis B530 UFL","L-17A06","113686002","Acidoxfac"
"Acidovorax facilis","Acidovorax facilis DSM 649T HAM","L-17A06","113686002","Acidoxfac"
"Acidovorax facilis","Acidovorax facilis DSM 649T HAM","L-17A06","113686002","Acidoxfac"
"Acidovorax konjaci","Acidovorax konjaci DSM 7481T HAM","L-17A08","113688001","Pseudsave-k"
"Acidovorax konjaci","Acidovorax konjaci DSM 7481T HAM","L-17A08","113688001","Pseudsave-k"
"Acidovorax temperans","Acidovorax temperans 3_2 TUB","L-17A07","113687006","Acidoxtem"
"Acidovorax temperans","Acidovorax temperans 3_2 TUB","L-17A07","113687006","Acidoxtem"
"Acidovorax temperans","Acidovorax temperans DSM 7270T HAM","L-17A07","113687006","Acidoxtem"
"Acidovorax temperans","Acidovorax temperans DSM 7270T HAM","L-17A07","113687006","Acidoxtem"
"Acidovorax wautersii","Acidovorax wautersii  14-503434 UMCU",,"709043005","Acidoxwau"
"Dematiaceous Scopulariopsis","Dematiaceous Scopulariopsis AL175 NIH",,"39949000","Scopusspe"
"Acinetobacter baumannii","Acinetobacter baumannii 13101_1 CHB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii 13101_1 CHB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii B389 UFL","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii B389 UFL","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30007T HAM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30007T HAM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30007T_QC DSM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30007T_QC DSM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30008 DSM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30008 DSM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30011 DSM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii DSM 30011 DSM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii ECI RUH_875 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii ECI RUH_875 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii ECII RUH_134 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii ECII RUH_134 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii ECIII RUH_5875 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii ECIII RUH_5875 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii GEIH_2000 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii GEIH_2000 HCB","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii LMG 994 HAM","L-10503","91288006","Acinerbau"
"Acinetobacter baumannii","Acinetobacter baumannii LMG 994 HAM","L-10503","91288006","Acinerbau"
"Acinetobacter baylyi","Acinetobacter baylyi DSM 14959 DSM","L-10520","423974000","Acinerbay"
"Acinetobacter baylyi","Acinetobacter baylyi DSM 14959 DSM","L-10520","423974000","Acinerbay"
"Acinetobacter baylyi","Acinetobacter baylyi DSM 14961T DSM","L-10520","423974000","Acinerbay"
"Acinetobacter baylyi","Acinetobacter baylyi DSM 14961T DSM","L-10520","423974000","Acinerbay"
"Acinetobacter baylyi","Acinetobacter baylyi DSM 14963 DSM","L-10520","423974000","Acinerbay"
"Acinetobacter baylyi","Acinetobacter baylyi DSM 14963 DSM","L-10520","423974000","Acinerbay"
"Acinetobacter beijerinckii","Acinetobacter beijerinckii DSM 22901T DSM",,,"Acinerbei"
"Acinetobacter bereziniae","Acinetobacter bereziniae CICC 23979_a CICC",,"700398000","Acinerber"
"Acinetobacter bereziniae","Acinetobacter bereziniae CIP 70_12T CIP",,"700398000","Acinerber"
"Candida_robusta[ana] (Saccharomyces_cerevisiae[teleo])","Candida_robusta[ana] (Saccharomyces_cerevisiae[teleo]) CBS 1171NT CBS",,"58296003","Sacchscer"
"Psychrobacter sp[2]","Psychrobacter sp[2] CICC 24001 CICC",,"34412002","Psychrspe"
"Acinetobacter bouvetii","Acinetobacter bouvetii DSM 14964T DSM","L-1050D","424539001","Acinerbou"
"Acinetobacter bouvetii","Acinetobacter bouvetii DSM 14964T DSM","L-1050D","424539001","Acinerbou"
"Psychrobacter sp[2]","Psychrobacter sp[2] IHIT31398 HITG",,"34412002","Psychrspe"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus 28 PIM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus 28 PIM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus B388 UFL","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus B388 UFL","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus CCM 4503 CCM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus CCM 4503 CCM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus CCM 4665 CCM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus CCM 4665 CCM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus DSM 1139 DSM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus DSM 1139 DSM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus DSM 30006T HAM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus DSM 30006T HAM","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 1046T LMG","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 1046T LMG","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 10515 LMG","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 10515 LMG","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 10517 LMG","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 10517 LMG","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 10518 LMG","L-10501","82550008","Acinercal"
"Acinetobacter calcoaceticus","Acinetobacter calcoaceticus LMG 10518 LMG","L-10501","82550008","Acinercal"
"Acinetobacter courvalinii","Acinetobacter courvalinii CIP 110480T CIP",,,"Acinercou"
"Pelomonas sp[3]","Pelomonas sp[3] CS 525_1 BRB",,"440128008","Pelomsspe"
"Pandoraea sp[2]","Pandoraea sp[2] 65 RLT",,"414998001","Pandoaspe"
"Pandoraea sp[5]","Pandoraea sp[5] 40530_09 ERL",,"414998001","Pandoaspe"
"Neisseria sp[2]","Neisseria sp[2] 0807M15057901 IBS",,"59083001","Neissaspe"
"Mogibacterium complex","Mogibacterium complex 15-603021 UMCU",,"416887004","Mogibmspe"
"Micrococcus sp[3]","Micrococcus sp[3] CICC 23982 CICC",,"52864008","Microsspe"
"Micrococcus sp[3]","Micrococcus sp[3] CICC 23983 CICC",,"52864008","Microsspe"
"Micrococcus sp[3]","Micrococcus sp[3] CICC 24000 CICC",,"52864008","Microsspe"
"Acinetobacter dispersus","Acinetobacter dispersus CIP 110500T CIP",,,"Acinerdis"
"Acinetobacter gerneri","Acinetobacter gerneri DSM 14967T HAM","L-1050E","424700008","Acinerger"
"Acinetobacter gerneri","Acinetobacter gerneri DSM 14967T HAM","L-1050E","424700008","Acinerger"
"Acinetobacter guillouiae","Acinetobacter guillouiae CIP 63_46T CIP",,"700397005","Acinergui"
"Acinetobacter guillouiae","Acinetobacter guillouiae DSM 590T DSM",,"700397005","Acinergui"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus 11226611 MVD","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus 11226611 MVD","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus 37212 SHDU","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus 37212 SHDU","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus DSM 6962T DSM","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus DSM 6962T DSM","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 1033 HAM","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 1033 HAM","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 10566 LMG","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 10566 LMG","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 10571 LMG","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 10571 LMG","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 10572 LMG","L-10504","77045006","Acinerhae"
"Acinetobacter haemolyticus","Acinetobacter haemolyticus LMG 10572 LMG","L-10504","77045006","Acinerhae"
"Methylobacterium sp[2]","Methylobacterium sp[2] CS 684_2 BRB",,"38395008","Methymspe"
"Lactobacillus psittaci","Lactobacillus psittaci CIP 106492T CIP",,"431790007","Lactospsi"
"Acinetobacter johnsonii","Acinetobacter johnsonii 10036669_102 USH","L-10506","252000","Acinerjoh"
"Acinetobacter johnsonii","Acinetobacter johnsonii 10036669_102 USH","L-10506","252000","Acinerjoh"
"Acinetobacter johnsonii","Acinetobacter johnsonii 2_1 TUB","L-10506","252000","Acinerjoh"
"Acinetobacter johnsonii","Acinetobacter johnsonii 2_1 TUB","L-10506","252000","Acinerjoh"
"Acinetobacter johnsonii","Acinetobacter johnsonii 31 PIM","L-10506","252000","Acinerjoh"
"Acinetobacter johnsonii","Acinetobacter johnsonii 31 PIM","L-10506","252000","Acinerjoh"
